Corp Id,CORPORATION NAME,Cohort N,Grad N,2018 State Grad Rate,Non-Waiver Grad N,2018 State Non-Waiver Grad Rate
9325,Options Charter School - Carmel,59,26,44.07%,22,37.29%
9330,Irvington Community School,71,60,84.51%,59,83.10%
9335,Excel Center - Lafayette Square,73,13,17.81%,13,17.81%
9345,Excel Center - Lafayette,137,48,35.04%,48,35.04%
9355,Excel Center - Kokomo,118,36,30.51%,34,28.81%
9380,Christel House Academy South,30,24,80.00%,24,80.00%
9385,Christel House DORS,34,16,47.06%,16,47.06%
9440,Christel House DORS West,26,9,34.62%,9,34.62%
9445,Charles A Tindley Accelerated Sch,66,56,84.85%,55,83.33%
9460,Thea Bowman Leadership Academy,100,85,85.00%,71,71.00%
9535,Gary Lighthouse Charter School,158,148,93.67%,118,74.68%
9545,21st Century Charter Sch of Gary,66,62,93.94%,49,74.24%
9575,Indpls Lighthouse Charter School,59,57,96.61%,55,93.22%
9620,Burris Laboratory School,46,46,100.00%,46,100.00%
9625,Indiana Academy for Sci Math Hmn,147,139,94.56%,138,93.88%
9630,Carpe Diem - Shadeland,***,***,#VALUE!,0,#VALUE!
9640,Options Charter School Noblesville,76,23,30.26%,20,26.32%
9650,Herron Charter,188,186,98.94%,185,98.40%
9655,Hope Academy,15,8,53.33%,8,53.33%
9670,Indianapolis Metropolitan High Sch,55,50,90.91%,50,90.91%
9705,Hammond Academy of Science & Tech,55,52,94.55%,51,92.73%
9710,Carpe Diem - Northwest,23,16,69.57%,10,43.48%
9730,Neighbors' New Vistas High School,61,19,31.15%,16,26.23%
9750,Excel Center - Anderson,67,14,20.90%,14,20.90%
9755,Carpe Diem - Meridian Campus,***,***,#VALUE!,0,#VALUE!
9760,Smith Academy for Excellence,***,***,#VALUE!,1,#VALUE!
9790,Anderson Preparatory Academy,52,50,96.15%,46,88.46%
9805,Hoosier Academy - Indianapolis,14,10,71.43%,7,50.00%
9840,Excel Center - University Heights,45,9,20.00%,9,20.00%
9855,Excel Center - Noblesville,88,28,31.82%,28,31.82%
9865,Hoosier Acad Virtual Charter,269,120,44.61%,92,34.20%
9875,Rock Creek Community Academy,28,28,100.00%,25,89.29%
9880,Career Academy High School,61,54,88.52%,53,86.89%
9885,Gary Middle College,94,26,27.66%,22,23.40%
9890,Indiana Virtual School,354,85,24.01%,81,22.88%
9895,IN Math & Science Academy - North,35,30,85.71%,25,71.43%
9900,Excel Center - South Bend,24,2,8.33%,2,8.33%
9905,Indiana Connections Academy,940,468,49.79%,352,37.45%
9910,Excel Center for Adult Learners,295,48,16.27%,46,15.59%
9915,Marion Academy,108,4,3.70%,4,3.70%
9920,Damar Charter Academy,24,0,0.00%,0,0.00%
9930,Nexus Academy of Indianapolis,16,13,81.25%,12,75.00%
9950,Dugger Union Community School Corp,48,35,72.92%,31,64.58%
9995,Excel Center - Shelbyville,43,9,20.93%,9,20.93%
